sentence_id,source_doc,page_num,raw_text,predicted_type,signals,confidence_score,is_constraint,constraint_type,entities,threshold,exception,notes
CONTRACT_0187,contract_v5,58,Assignments during the first ROO are subject to the needs or the Division and may requite holding Cleaners over for a maximum of 4 hours.,SOFT,deontic:permission|threshold|exception,4,Yes,HARD,"Cleaners, Division",max_hours=4,subject to the needs of the Division,"auto:This sentence is classified as a hard constraint because it specifies a maximum number of hours that Cleaners may be held over, implying a mandatory limit."
CONTRACT_0030,contract_v5,22,"A warning or reprimand shall be expunged after 12 months, if the employee has no other discipline. • OTHER REVISIONS • Disciplinary arbitration will be heard by a neutral arbitrator. • In the event that the Union contends that a pre-disciplinary suspension has been improperly imposed the question of the propriety ofJ}le pre-disciplinary suspension shall be subject to immediate review by a disciplinary arbitrator.",HARD,deontic:obligation|threshold|exception,4,Yes,HARD,"employee, union, arbitrator",12 months,if the employee has no other discipline,auto:The sentence uses the word 'shall' to indicate a mandatory requirement for expunging warnings or reprimands after a certain time period.
CONTRACT_1592,contract_v5,351,"The Operating Authority shall not, by reason hereof, be required to make such payments, as provided in subsection 3 of this section, beyond the termination of this Agreement. 4) In order to more closely conform the retirement benefits of Operating Authority employees to those provided to hourly-rated employees of the Transit Authority in tiers 1, 2, and 3, the following modifications shall be made effective April 1, 1982, unless otherwise provided: a.",HARD,deontic:prohibition|deontic:obligation|exception,3,Yes,HARD,"Operating Authority, Transit Authority",,beyond the termination of this Agreement,auto:The sentence uses the phrase 'shall not' which indicates a legally mandatory constraint.
CONTRACT_0559,contract_v5,166,"Should the Union or employee adjourn the scheduled hearing date before the Board, the case shall be rescheduled by the Authority within twenty (20) days unless the parties mutually agree to extend the time period for rescheduling.",HARD,deontic:obligation|deontic:preference|exception,3,Yes,HARD,"Union, employee, Authority, Board",twenty (20) days,unless the parties mutually agree to extend the time period for rescheduling,"auto:This sentence is classified as a hard constraint because it uses the word 'shall', indicating a mandatory requirement for the Authority to reschedule the case within a specified time period."
CONTRACT_1631,contract_v5,356,"Subject to the foregoing, seniority shall be followed in picking vacation. 5) The annual vacation allowance will not be accruable and will not be carried over from one year to another except upon the approval of the Operating Authority.",HARD,deontic:obligation|exception,3,Yes,HARD,"Operating Authority, union",,upon the approval of the Operating Authority,"auto:The sentence is classified as a hard constraint because it uses the phrase 'will not be carried over' which indicates a mandatory rule, although it has an exception that allows for approval by the Operating Authority."
CONTRACT_0570,contract_v5,167,Warnings shall be implemented at any step of the grievance procedure when the employee is notified and fails to appear for a scheduled hearing provided that the hearing was not scheduled for a day when the employee is on authorized substantiated leave.,HARD,deontic:obligation|exception,3,Yes,HARD,"employee, union, management",,hearing was not scheduled for a day when the employee is on authorized substantiated leave,"auto:The sentence uses the word 'shall' which indicates a mandatory requirement, making it a hard constraint."
CONTRACT_0571,contract_v5,167,Warnings shall be dismissed if management fails to proceed at a scheduled hearing unless the management witness is absent due to a substantiated illness. 16.,HARD,deontic:obligation|exception,3,Yes,HARD,"management, union",,management witness is absent due to a substantiated illness,auto:This sentence is classified as a hard constraint because it uses the word 'shall' to indicate a mandatory requirement for dismissing warnings.
CONTRACT_1590,contract_v5,350,"Except as modified in subsection 3 of this section, all of the provisions in said pension plans shall remain the same for all purposes in determining eligibility, or amount of pension or for any other applicable purpose. 224",HARD,deontic:obligation|exception,3,Yes,HARD,"pension plan administrators, employees",,as modified in subsection 3 of this section,"auto:This sentence is classified as a hard constraint because it uses the phrase 'shall remain the same', indicating a legally mandatory requirement with no discretion allowed."
CONTRACT_1637,contract_v5,358,"When a leave of absence, due to illness, begins in one vacation year and extends into the next succeeding vacation year, an employee may, subject to approval by the head of his/her department, elect to take the vacation due him/her in the succeeding calendar year, provided he/she has not been absent more than one",SOFT,deontic:permission|exception,3,Yes,SOFT,"employee, head of department",one,"subject to approval by the head of his/her department, provided he/she has not been absent more than one","auto:This sentence is classified as a soft constraint because it uses the phrase 'subject to approval' and 'may elect', indicating discretion is allowed."
CONTRACT_0609,contract_v5,171,"Where such charge is sustained by the Tripartite Board, the action by the Authority, based thereon, shall be affirmed and sustained by the board except if there is presented to the board credible evidence that the action by the Authority is clearly excessive in light of the employee's record and past precedent in similar cases.",HARD,deontic:obligation|exception,3,Yes,HARD,"Authority, Tripartite Board, employee",,if there is presented to the board credible evidence that the action by the Authority is clearly excessive,auto:This sentence is classified as a hard constraint because it uses the word 'shall' to indicate a mandatory action by the Authority based on the Tripartite Board's decision.
